,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
27,labuhan,-6.8844,112.2051,32.37,56.0,34.0,4.44,ID,1635223854.0
28,yarada,17.65,83.2667,30.18,54.0,20.0,2.06,IN,1635223855.0
29,yellowknife,62.456,-114.3525,5.49,90.0,90.0,5.14,CA,1635223857.0
30,geraldton,-28.7667,114.6,19.23,48.0,40.0,6.69,AU,1635223834.0
31,provideniya,64.3833,-173.3,-6.94,58.0,75.0,5.0,RU,1635223859.0
33,hermanus,-34.4187,19.2345,17.11,81.0,100.0,6.88,ZA,1635223862.0
34,nikolskoye,59.7035,30.7861,4.75,89.0,100.0,4.15,RU,1635223762.0
35,qaanaaq,77.484,-69.3632,-13.78,74.0,100.0,5.9,GL,1635223791.0
37,katsuura,35.1333,140.3,20.07,72.0,73.0,7.79,JP,1635223867.0
38,aykhal,66.0,111.5,-9.69,90.0,32.0,3.85,RU,1635223869.0
39,bambous virieux,-20.3428,57.7575,24.14,78.0,75.0,8.75,MU,1635223870.0
40,laem sing,12.4816,102.0738,33.22,83.0,64.0,1.27,TH,1635223872.0
41,athabasca,54.7169,-113.2854,2.75,89.0,27.0,2.24,CA,1635223767.0
42,port elizabeth,-33.918,25.5701,17.16,88.0,75.0,7.2,ZA,1635223823.0
44,ezequiel montes,20.6667,-99.8833,15.22,90.0,100.0,0.56,MX,1635223877.0
45,barrow,71.2906,-156.7887,-3.99,80.0,90.0,5.14,US,1635223879.0
46,albany,42.6001,-73.9662,9.67,91.0,100.0,1.51,US,1635223881.0
47,moyale,3.5167,39.0584,21.79,69.0,75.0,3.88,KE,1635223882.0
48,rikitea,-23.1203,-134.9692,24.29,72.0,73.0,6.85,PF,1635223884.0
49,punta arenas,-53.15,-70.9167,4.06,75.0,75.0,4.63,CL,1635223885.0
50,saint-philippe,-21.3585,55.7679,25.73,74.0,40.0,6.19,RE,1635223887.0
51,saldanha,-33.0117,17.9442,17.03,69.0,100.0,3.16,ZA,1635223888.0
52,cap malheureux,-19.9842,57.6142,25.82,67.0,22.0,3.58,MU,1635223890.0
53,bluff,-46.6,168.3333,11.43,91.0,100.0,4.11,NZ,1635223891.0
54,shenjiamen,29.9576,122.298,19.56,64.0,54.0,4.07,CN,1635223893.0
55,kamenka,51.3223,42.7678,-1.81,72.0,2.0,2.44,RU,1635223894.0
56,cockburn town,21.4612,-71.1419,28.22,78.0,66.0,7.52,TC,1635223690.0
57,cidreira,-30.1811,-50.2056,17.35,73.0,0.0,2.26,BR,1635223806.0
58,vaini,-21.2,-175.2,26.09,78.0,20.0,4.63,TO,1635223898.0
59,maraba,-5.3686,-49.1178,26.1,94.0,40.0,1.03,BR,1635223859.0
60,nortelandia,-14.4547,-56.8028,23.01,81.0,90.0,0.9,BR,1635223901.0
61,ntungamo,-0.8833,29.65,19.28,80.0,68.0,0.67,UG,1635223903.0
62,dharchula,29.85,80.5333,21.3,35.0,0.0,2.33,IN,1635223904.0
63,pacific grove,36.6177,-121.9166,10.78,90.0,0.0,0.45,US,1635223906.0
64,narsaq,60.9167,-46.05,0.13,48.0,21.0,4.16,GL,1635223907.0
65,saskylakh,71.9167,114.0833,-16.32,95.0,100.0,1.05,RU,1635223909.0
66,mahibadhoo,3.7833,72.9667,27.96,76.0,100.0,7.97,MV,1635223910.0
67,taltal,-25.4,-70.4833,13.66,86.0,55.0,0.34,CL,1635223912.0
68,acarau,-2.8856,-40.12,26.28,74.0,38.0,7.16,BR,1635223913.0
69,hilo,19.7297,-155.09,23.1,90.0,90.0,2.57,US,1635223814.0
71,weyburn,49.6668,-103.8511,7.12,70.0,94.0,8.75,CA,1635223637.0
75,east london,-33.0153,27.9116,16.52,94.0,20.0,1.54,ZA,1635223809.0
76,hudiksvall,61.729,17.1036,9.45,83.0,81.0,3.94,SE,1635223923.0
78,hami,42.8,93.45,13.55,22.0,0.0,2.42,CN,1635223926.0
79,chicama,-7.8447,-79.1469,15.3,82.0,100.0,2.75,PE,1635223927.0
80,fort nelson,58.8053,-122.7002,-1.23,100.0,90.0,0.0,CA,1635223929.0
81,north bend,43.4065,-124.2243,11.48,97.0,90.0,4.12,US,1635223931.0
82,new norfolk,-42.7826,147.0587,16.49,41.0,1.0,0.89,AU,1635223870.0
83,teguise,29.0605,-13.564,17.12,77.0,0.0,3.6,ES,1635223933.0
84,tasiilaq,65.6145,-37.6368,-0.61,84.0,100.0,1.46,GL,1635223889.0
85,mahebourg,-20.4081,57.7,24.16,78.0,75.0,8.75,MU,1635223936.0
86,kharian,32.8149,73.8636,17.64,43.0,0.0,0.63,PK,1635223937.0
88,hasaki,35.7333,140.8333,17.26,76.0,90.0,12.55,JP,1635223940.0
89,kangaatsiaq,68.3065,-53.4641,-7.97,83.0,23.0,4.19,GL,1635223942.0
90,kodiak,57.79,-152.4072,3.51,96.0,100.0,4.93,US,1635223944.0
91,port hardy,50.6996,-127.4199,10.1,93.0,90.0,2.57,CA,1635223945.0
92,najran,17.4924,44.1277,15.36,14.0,5.0,0.33,SA,1635223947.0
93,busselton,-33.65,115.3333,13.91,63.0,99.0,5.12,AU,1635223766.0
94,touros,-5.1989,-35.4608,25.5,71.0,97.0,5.86,BR,1635223797.0
95,santa isabel,-23.3156,-46.2214,17.65,97.0,99.0,1.08,BR,1635223951.0
96,tiksi,71.6872,128.8694,-14.89,94.0,100.0,1.55,RU,1635223952.0
98,castro,-24.7911,-50.0119,12.61,95.0,42.0,1.12,BR,1635223724.0
99,georgetown,5.4112,100.3354,30.73,75.0,40.0,2.24,MY,1635223956.0
100,airai,-8.9266,125.4092,27.12,35.0,84.0,1.3,TL,1635223958.0
101,bredasdorp,-34.5322,20.0403,16.82,91.0,100.0,4.57,ZA,1635223959.0
102,egvekinot,66.3167,-179.1667,-18.52,88.0,17.0,2.99,RU,1635223960.0
103,sucua,-2.4667,-78.1667,19.9,97.0,89.0,1.48,EC,1635223962.0
104,tezu,27.9167,96.1667,28.26,46.0,2.0,1.65,IN,1635223963.0
105,baruun-urt,46.6806,113.2792,6.59,31.0,7.0,4.81,MN,1635223965.0
106,saint-pierre,-21.3393,55.4781,25.94,63.0,0.0,8.75,RE,1635223966.0
107,nanortalik,60.1432,-45.2371,1.89,61.0,89.0,4.89,GL,1635223968.0
108,nelson bay,-32.7167,152.15,20.52,61.0,44.0,1.79,AU,1635223969.0
109,umm lajj,25.0213,37.2685,26.72,48.0,0.0,0.58,SA,1635223971.0
110,gander,48.9682,-54.5906,2.97,74.0,90.0,4.02,CA,1635223972.0
111,nago,26.5881,127.9761,26.17,54.0,10.0,5.73,JP,1635223974.0
112,fare,-16.7,-151.0167,23.48,90.0,100.0,2.9,PF,1635223975.0
113,kavaratti,10.5669,72.642,27.79,75.0,100.0,6.61,IN,1635223977.0
114,severo-kurilsk,50.6789,156.125,8.24,83.0,25.0,7.13,RU,1635223978.0
116,constitucion,-35.3333,-72.4167,13.08,82.0,40.0,4.33,CL,1635223691.0
117,chokurdakh,70.6333,147.9167,-29.95,100.0,28.0,1.15,RU,1635223982.0
118,pevek,69.7008,170.3133,-16.17,94.0,100.0,1.42,RU,1635223832.0
120,hobart,-42.8794,147.3294,16.08,54.0,20.0,0.45,AU,1635223986.0
121,cherskiy,68.75,161.3,-24.29,96.0,97.0,1.27,RU,1635223987.0
123,fairbanks,64.8378,-147.7164,-2.35,90.0,90.0,2.06,US,1635223825.0
124,nemuro,43.3236,145.575,15.24,83.0,100.0,6.41,JP,1635223948.0
125,san patricio,28.017,-97.5169,25.99,76.0,97.0,4.14,US,1635223993.0
126,terrace,54.5163,-128.6035,7.95,100.0,90.0,0.0,CA,1635223767.0
127,soyo,-6.1349,12.3689,24.69,85.0,100.0,4.01,AO,1635223908.0
128,guerrero negro,27.9769,-114.0611,19.56,72.0,56.0,8.54,MX,1635223886.0
129,esmeralda,21.8525,-78.1169,24.29,89.0,72.0,1.38,CU,1635223998.0
130,cabo san lucas,22.8909,-109.9124,23.66,76.0,2.0,2.24,MX,1635223999.0
131,arraial do cabo,-22.9661,-42.0278,20.72,91.0,94.0,4.69,BR,1635223821.0
132,kagoro,9.6,8.3833,19.91,96.0,97.0,0.45,NG,1635224002.0
134,cape town,-33.9258,18.4232,16.41,65.0,0.0,0.89,ZA,1635223751.0
136,vyazma,55.2104,34.2951,0.36,75.0,100.0,5.18,RU,1635224007.0
137,sitka,57.0531,-135.33,4.94,87.0,1.0,1.54,US,1635224009.0
140,los llanos de aridane,28.6585,-17.9182,16.74,83.0,40.0,2.24,ES,1635223912.0
141,ciudad bolivar,8.1222,-63.5497,23.69,92.0,96.0,2.96,VE,1635224014.0
142,atuona,-9.8,-139.0333,25.55,71.0,11.0,6.71,PF,1635224015.0
143,sa kaeo,13.75,102.3333,28.85,63.0,70.0,4.15,TH,1635224017.0
144,muros,42.7762,-9.0603,9.1,96.0,4.0,2.63,ES,1635224018.0
145,torbay,47.6666,-52.7314,4.09,85.0,90.0,4.63,CA,1635224020.0
146,coihaique,-45.5752,-72.0662,6.97,87.0,90.0,1.03,CL,1635224021.0
147,tuktoyaktuk,69.4541,-133.0374,-2.0,100.0,90.0,1.54,CA,1635224023.0
148,dudinka,69.4058,86.1778,-8.45,95.0,99.0,5.29,RU,1635224024.0
149,lamu,-2.2717,40.902,25.12,78.0,60.0,3.08,KE,1635224026.0
150,dikson,73.5069,80.5464,-10.24,85.0,100.0,6.27,RU,1635224027.0
151,marathon,44.9,-89.7668,1.64,86.0,1.0,2.57,US,1635224029.0
152,revadanda,18.5503,72.9278,30.0,54.0,35.0,2.4,IN,1635224030.0
153,hamilton,39.1834,-84.5333,9.93,92.0,90.0,0.45,US,1635223734.0
154,kaitangata,-46.2817,169.8464,11.81,86.0,100.0,2.45,NZ,1635224033.0
155,puerto ayora,-0.7393,-90.3518,19.75,94.0,69.0,1.34,EC,1635223778.0
156,garowe,8.4054,48.4845,24.47,67.0,43.0,2.76,SO,1635224036.0
157,puerto del rosario,28.5004,-13.8627,20.86,78.0,6.0,6.69,ES,1635224037.0
159,te anau,-45.4167,167.7167,16.53,75.0,59.0,1.28,NZ,1635224040.0
161,soure,-0.7167,-48.5233,26.97,82.0,64.0,4.13,BR,1635224043.0
162,kostomuksha,64.571,30.5767,2.42,100.0,100.0,2.8,RU,1635224045.0
163,lebu,-37.6167,-73.65,11.02,94.0,9.0,6.8,CL,1635224046.0
164,norman wells,65.282,-126.8329,-3.98,93.0,75.0,1.54,CA,1635223837.0
165,acapulco,16.8634,-99.8901,25.57,86.0,95.0,1.13,MX,1635223861.0
166,broome,42.2506,-75.833,15.42,80.0,100.0,0.45,US,1635224050.0
167,klaksvik,62.2266,-6.589,6.51,73.0,92.0,4.23,FO,1635224052.0
168,bethanien,-26.502,17.1583,18.63,26.0,0.0,1.09,NA,1635224053.0
169,hobyo,5.3505,48.5268,27.48,70.0,35.0,3.36,SO,1635224055.0
170,quelimane,-17.8786,36.8883,25.51,83.0,75.0,3.13,MZ,1635224056.0
171,domodossola,46.1165,8.2931,6.23,66.0,81.0,2.68,IT,1635224058.0
172,tocopilla,-22.092,-70.1979,15.6,72.0,1.0,0.69,CL,1635223913.0
173,mecca,21.4267,39.8261,27.91,53.0,0.0,1.09,SA,1635224060.0
174,parati,-23.2178,-44.7131,19.69,96.0,90.0,1.05,BR,1635224062.0
175,ribeira grande,38.5167,-28.7,20.8,76.0,37.0,10.5,PT,1635224063.0
176,khandyga,62.6667,135.6,-0.03,96.0,100.0,1.88,RU,1635224065.0
177,camacha,33.0833,-16.3333,17.68,72.0,40.0,4.63,PT,1635224066.0
178,ponta do sol,32.6667,-17.1,20.43,69.0,8.0,3.13,PT,1635224068.0
179,qeshm,26.9581,56.2719,23.93,67.0,0.0,4.55,IR,1635224069.0
180,hualmay,-11.0964,-77.6139,16.72,85.0,68.0,4.3,PE,1635224071.0
181,krasnoselkup,65.7,82.4667,-4.75,89.0,99.0,4.13,RU,1635224072.0
182,srednekolymsk,67.45,153.6833,-20.39,97.0,39.0,1.26,RU,1635224074.0
183,chara,56.9064,118.2631,0.4,63.0,92.0,1.89,RU,1635224075.0
184,general roca,-39.0333,-67.5833,18.12,39.0,51.0,9.57,AR,1635224077.0
185,cortez,37.3489,-108.5859,10.14,56.0,43.0,3.37,US,1635224078.0
188,isangel,-19.55,169.2667,27.06,74.0,37.0,3.09,VU,1635224082.0
189,mirnyy,62.5353,113.9611,0.03,85.0,100.0,0.36,RU,1635224084.0
190,emilio carranza,19.9711,-96.6114,25.86,91.0,98.0,2.03,MX,1635224085.0
192,shurugwi,-19.6702,30.0059,14.34,85.0,98.0,3.39,ZW,1635224088.0
193,yuanping,38.7153,112.7575,16.0,23.0,13.0,4.16,CN,1635224089.0
194,chongqing,29.5628,106.5528,18.5,80.0,20.0,0.89,CN,1635224091.0
195,borogontsy,62.6683,131.1683,0.33,98.0,100.0,0.48,RU,1635224092.0
196,vila velha,-20.3297,-40.2925,22.97,83.0,90.0,1.03,BR,1635224094.0
197,bethel,41.3712,-73.414,11.69,93.0,90.0,1.79,US,1635224095.0
198,talas,38.6908,35.5538,-3.63,86.0,0.0,1.54,TR,1635224096.0
199,quang ngai,15.1167,108.8,24.03,91.0,100.0,3.98,VN,1635223911.0
200,angoche,-16.2325,39.9086,27.42,76.0,9.0,2.91,MZ,1635224099.0
202,leshukonskoye,64.8989,45.7622,-4.95,97.0,99.0,1.45,RU,1635224102.0
203,monrovia,6.3005,-10.7969,23.87,90.0,100.0,2.88,LR,1635224104.0
204,makamba,-4.1348,29.804,20.15,73.0,98.0,1.32,BI,1635224054.0
205,novikovo,51.1537,37.8879,-1.35,72.0,14.0,2.43,RU,1635224107.0
206,salalah,17.0151,54.0924,27.11,55.0,23.0,1.85,OM,1635223820.0
207,chimbote,-9.0853,-78.5783,16.5,88.0,100.0,2.9,PE,1635224109.0
208,baijiantan,45.6333,85.1833,12.39,21.0,0.0,0.76,CN,1635224111.0
210,thompson,55.7435,-97.8558,2.09,80.0,75.0,1.54,CA,1635224114.0
211,chuy,-33.6971,-53.4616,14.93,74.0,0.0,2.73,UY,1635224114.0
213,micheweni,-4.9667,39.8333,27.09,71.0,89.0,1.78,TZ,1635224118.0
214,ovre ardal,61.3167,7.8,4.49,93.0,94.0,2.4,NO,1635224119.0
215,ilulissat,69.2167,-51.1,-18.91,81.0,1.0,1.77,GL,1635224121.0
216,antofagasta,-23.65,-70.4,13.6,82.0,0.0,0.66,CL,1635223563.0
217,lubango,-14.9172,13.4925,16.27,34.0,43.0,1.07,AO,1635223910.0
218,yarke pole,45.608,34.3172,4.08,67.0,2.0,1.74,UA,1635224125.0
219,nara,34.6851,135.8049,19.71,62.0,88.0,4.17,JP,1635224126.0
220,temba,-25.3803,28.2631,18.39,74.0,6.0,6.18,ZA,1635224128.0
221,poum,-20.2333,164.0167,24.54,69.0,76.0,4.2,NC,1635224129.0
222,san cristobal,7.7669,-72.225,20.1,97.0,60.0,0.73,VE,1635223881.0
223,kununurra,-15.7667,128.7333,37.99,32.0,16.0,2.57,AU,1635224132.0
224,arlit,18.7369,7.3853,26.36,13.0,0.0,2.68,NE,1635224133.0
225,tautira,-17.7333,-149.15,25.01,75.0,100.0,1.46,PF,1635224135.0
226,manakara,-22.1333,48.0167,25.32,68.0,66.0,3.11,MG,1635224136.0
227,hattiesburg,31.3271,-89.2903,18.56,91.0,1.0,3.09,US,1635224138.0
228,faanui,-16.4833,-151.75,23.75,86.0,100.0,3.85,PF,1635224139.0
229,san jose,37.3394,-121.895,10.7,84.0,20.0,2.06,US,1635223865.0
230,doha,25.2867,51.5333,28.57,46.0,0.0,3.09,QA,1635223914.0
231,moctezuma,29.8,-109.6667,20.15,52.0,0.0,1.52,MX,1635224143.0
232,moree,-29.4667,149.85,28.01,12.0,0.0,3.6,AU,1635224145.0
233,belyy yar,53.6039,91.3903,10.94,54.0,0.0,2.0,RU,1635224146.0
234,alyangula,-13.8483,136.4192,31.93,62.0,40.0,2.57,AU,1635224148.0
235,kavieng,-2.5744,150.7967,28.51,70.0,74.0,1.9,PG,1635224149.0
236,bentiu,9.2333,29.8333,26.55,64.0,51.0,1.01,SS,1635224151.0
238,esperance,-33.8667,121.9,14.91,61.0,81.0,3.17,AU,1635224089.0
239,mokokchung,26.3333,94.5333,22.73,53.0,2.0,1.92,IN,1635224155.0
240,bantou,26.2151,117.4893,26.26,54.0,57.0,1.35,CN,1635224156.0
241,snihurivka,47.0758,32.8052,-1.01,65.0,0.0,3.0,UA,1635224158.0
242,saint george,37.1041,-113.5841,13.3,82.0,90.0,1.79,US,1635224159.0
243,two rivers,44.1539,-87.5693,5.62,85.0,100.0,0.45,US,1635224161.0
244,rafai,4.95,23.9167,21.48,96.0,100.0,0.6,CF,1635224162.0
245,mezen,65.8522,44.24,-7.13,96.0,75.0,2.09,RU,1635224164.0
246,vilhena,-12.7406,-60.1458,20.62,87.0,100.0,1.22,BR,1635224165.0
247,harper,4.375,-7.7169,24.86,84.0,100.0,2.27,LR,1635224167.0
248,sur,22.5667,59.5289,29.34,50.0,5.0,2.66,OM,1635224156.0
249,petropavlovsk-kamchatskiy,53.0452,158.6483,7.33,61.0,75.0,1.0,RU,1635224169.0
251,vao,-22.6667,167.4833,22.15,80.0,15.0,7.71,NC,1635224172.0
252,abbeyfeale,52.3814,-9.3025,13.66,92.0,100.0,5.4,IE,1635224174.0
253,show low,34.2542,-110.0298,14.35,48.0,1.0,9.77,US,1635223898.0
254,ornskoldsvik,63.2909,18.7153,-1.47,100.0,0.0,3.09,SE,1635224176.0
255,verkhnevilyuysk,63.4453,120.3167,1.05,86.0,100.0,2.75,RU,1635224178.0
256,kirovskiy,45.0917,133.5136,16.04,40.0,7.0,3.76,RU,1635224179.0
257,prachuap khiri khan,12.2167,99.75,28.17,65.0,100.0,4.02,TH,1635224181.0
258,charlottesville,38.0293,-78.4767,13.75,98.0,75.0,2.24,US,1635224042.0
259,mogwase,-25.185,27.2665,16.77,69.0,0.0,3.65,ZA,1635224184.0
260,portland,45.5234,-122.6762,10.54,89.0,80.0,0.89,US,1635224093.0
261,fortuna,40.5982,-124.1573,11.65,74.0,75.0,2.68,US,1635224186.0
262,parabel,58.6978,81.4825,1.23,97.0,100.0,6.88,RU,1635224188.0
263,pak phanang,8.3511,100.202,30.94,67.0,82.0,3.11,TH,1635224189.0
264,tahta,26.7693,31.5021,19.52,50.0,0.0,3.26,EG,1635224191.0
265,fukue,32.6881,128.8419,22.2,56.0,40.0,3.6,JP,1635224192.0
266,ancud,-41.8697,-73.8203,9.74,92.0,100.0,5.73,CL,1635224194.0
267,faya,18.3851,42.4509,13.29,53.0,1.0,0.84,SA,1635224091.0
269,bataipora,-22.2953,-53.2711,18.62,93.0,75.0,1.58,BR,1635224198.0
270,ghanzi,-21.5667,21.7833,22.08,49.0,0.0,4.2,BW,1635224200.0
271,avera,33.194,-82.5271,19.54,87.0,14.0,6.12,US,1635224201.0
272,fonte boa,-2.4959,-66.2662,22.87,94.0,98.0,0.75,BR,1635224202.0
273,sabha,27.0377,14.4283,19.77,27.0,7.0,3.62,LY,1635224204.0
274,nicoya,10.1483,-85.452,24.75,94.0,99.0,0.56,CR,1635224205.0
275,mount isa,-20.7333,139.5,35.87,17.0,75.0,3.09,AU,1635224207.0
276,evensk,61.95,159.2333,-9.6,78.0,2.0,2.25,RU,1635224208.0
277,netrakona,24.8833,90.7167,27.9,61.0,0.0,1.68,BD,1635224210.0
278,yatou,37.15,122.3833,18.78,46.0,100.0,4.44,CN,1635224211.0
279,jalu,29.0331,21.5482,21.48,41.0,47.0,1.66,LY,1635224213.0
280,naliya,23.2667,68.8333,29.59,32.0,0.0,1.49,IN,1635224214.0
281,lamar,33.6668,-95.5836,17.47,71.0,0.0,4.29,US,1635224216.0
282,hofn,64.2539,-15.2082,4.78,73.0,40.0,2.71,IS,1635224217.0
283,salta,-24.7859,-65.4117,15.96,45.0,0.0,0.89,AR,1635223941.0
284,nome,64.5011,-165.4064,-5.47,87.0,63.0,2.79,US,1635224220.0
286,kpandu,6.9954,0.2931,24.48,87.0,100.0,0.79,GH,1635224223.0
287,sangar,63.9242,127.4739,-3.22,96.0,100.0,3.26,RU,1635224224.0
288,bukachacha,52.9833,116.9167,4.08,44.0,96.0,3.74,RU,1635224226.0
289,gat,31.61,34.7642,18.52,81.0,0.0,1.19,IL,1635224227.0
290,hatillo,18.4863,-66.8254,24.18,82.0,2.0,1.46,PR,1635224229.0
291,haines junction,60.7522,-137.5108,-9.03,92.0,100.0,0.51,CA,1635224033.0
292,zyryanka,65.75,150.85,-14.93,89.0,53.0,1.86,RU,1635224232.0
293,julio de castilhos,-29.2269,-53.6817,12.71,71.0,0.0,1.72,BR,1635224233.0
294,palauig,15.435,119.9045,29.68,66.0,84.0,2.33,PH,1635224230.0
295,tateyama,34.9833,139.8667,20.14,71.0,50.0,8.39,JP,1635224236.0
296,tonantins,-2.8731,-67.8022,23.43,96.0,99.0,0.83,BR,1635224238.0
297,san carlos de bariloche,-41.1456,-71.3082,9.86,62.0,40.0,10.8,AR,1635224240.0
299,walvis bay,-22.9575,14.5053,13.53,82.0,0.0,3.6,NA,1635224243.0
300,seoul,37.5683,126.9778,18.33,47.0,20.0,2.57,KR,1635224244.0
301,tatarsk,55.219,75.9828,6.58,82.0,100.0,6.65,RU,1635224246.0
302,karasburg,-28.0167,18.75,18.12,25.0,0.0,4.38,NA,1635224247.0
303,manono,-7.3,27.4167,20.6,90.0,100.0,1.27,CD,1635224249.0
304,ozernovskiy,51.5,156.5167,6.1,95.0,100.0,6.32,RU,1635224250.0
305,luderitz,-26.6481,15.1594,14.21,87.0,2.0,0.85,NA,1635224252.0
306,laguna,38.421,-121.4238,12.2,83.0,75.0,1.34,US,1635224253.0
307,hambantota,6.1241,81.1185,27.19,94.0,20.0,3.09,LK,1635224255.0
308,bathsheba,13.2167,-59.5167,28.34,74.0,20.0,8.75,BB,1635224256.0
309,iqaluit,63.7506,-68.5145,-1.28,92.0,90.0,4.47,CA,1635224059.0
310,gaptsakh,41.4517,47.9303,-0.14,98.0,100.0,1.32,RU,1635224259.0
311,carnarvon,-24.8667,113.6333,21.04,52.0,42.0,7.2,AU,1635224260.0
312,victoria,22.2855,114.1577,26.02,73.0,100.0,1.34,HK,1635224139.0
314,watsa,3.0372,29.5355,18.74,94.0,87.0,0.49,CD,1635224264.0
315,culleredo,43.2879,-8.3886,8.15,92.0,75.0,2.06,ES,1635224266.0
316,beringovskiy,63.05,179.3167,-9.3,77.0,99.0,0.62,RU,1635224267.0
317,mandalgovi,45.7625,106.2708,6.61,34.0,5.0,5.41,MN,1635224269.0
318,neiafu,-18.65,-173.9833,26.38,69.0,20.0,4.12,TO,1635224260.0
319,rodrigues alves,-7.738,-72.6509,20.13,92.0,100.0,1.25,BR,1635224271.0
320,boguchany,58.3814,97.4531,2.68,64.0,59.0,3.81,RU,1635224273.0
321,soeng sang,14.4264,102.4606,28.36,70.0,80.0,4.48,TH,1635224274.0
322,bridlington,54.0831,-0.1919,7.91,85.0,76.0,5.48,GB,1635224276.0
325,bela pod bezdezem,50.5012,14.8042,4.94,73.0,100.0,1.67,CZ,1635224280.0
326,namatanai,-3.6667,152.4333,29.05,62.0,66.0,2.0,PG,1635224281.0
327,plouzane,48.3833,-4.6167,14.08,97.0,90.0,5.66,FR,1635224149.0
328,karoi,-16.8099,29.6925,20.93,61.0,6.0,5.52,ZW,1635224284.0
329,yarmouth,41.7057,-70.2286,16.69,96.0,90.0,2.24,US,1635224286.0
330,stromness,58.965,-3.296,7.79,87.0,82.0,4.92,GB,1635224287.0
332,kanashevo,55.2169,62.0634,-1.69,70.0,17.0,6.93,RU,1635224290.0
333,rawson,-43.3002,-65.1023,16.96,38.0,61.0,11.59,AR,1635224031.0
334,mao,39.8885,4.2658,14.31,88.0,0.0,3.09,ES,1635224293.0
335,lakselv,70.0513,24.9718,-3.1,86.0,75.0,1.03,NO,1635224294.0
336,wakefield,53.6809,-1.499,9.75,81.0,100.0,3.41,GB,1635224295.0
337,san quintin,30.4833,-115.95,18.4,77.0,86.0,3.52,MX,1635224097.0
338,lorengau,-2.0226,147.2712,29.61,66.0,81.0,3.02,PG,1635224107.0
339,mayo,38.8876,-76.5119,15.82,94.0,100.0,0.89,US,1635224300.0
340,bosconia,9.9689,-73.8836,23.61,94.0,76.0,1.16,CO,1635224301.0
341,koundara,12.4833,-13.3,22.72,93.0,94.0,1.22,GN,1635224303.0
342,tzucacab,20.0667,-89.05,24.44,94.0,72.0,0.6,MX,1635224304.0
343,high level,58.5169,-117.136,3.06,100.0,90.0,2.06,CA,1635224306.0
344,pisco,-13.7,-76.2167,15.03,82.0,0.0,0.51,PE,1635224307.0
345,akyab,20.15,92.9,28.61,70.0,54.0,2.34,MM,1635224309.0
346,harwich,51.9419,1.2844,9.57,90.0,60.0,1.34,GB,1635224310.0
347,gulu,2.7746,32.299,20.89,77.0,54.0,1.8,UG,1635224312.0
348,road town,18.4167,-64.6167,27.33,66.0,2.0,6.13,VG,1635224313.0
349,suzhou,31.3114,120.6181,20.93,50.0,77.0,1.19,CN,1635224315.0
350,san vicente,-26.6167,-54.1333,13.71,85.0,8.0,1.1,AR,1635224316.0
351,araguaina,-7.1911,-48.2072,24.14,84.0,31.0,0.79,BR,1635224318.0
352,hemsedal,60.8629,8.5534,3.95,93.0,41.0,2.37,NO,1635224319.0
353,kastamonu,41.5,33.6667,0.72,94.0,21.0,1.14,TR,1635224320.0
